key;df_sum_columns_Entrada;df_sum_columns_Parcela;df_sum_columns_Comissao;Imposto_dist;Taxa_Adm_dist;Receita_Distribuivel;df_Pos_Obra_Mensal;df_Pre_Obra_Mensal
15;17524.11378933043;415119.4058338674;-12696.79598804907;-28262.41450064551;-41994.67236351488;349689.6367709883;1135251.252671046;0.0
16;6393.080405231354;420024.9312491906;-6393.080405231354;-28267.67787307053;-42002.49312491907;349754.760251201;912200.0083299688;0.0
17;2413.647851871365;423121.7092165027;-2413.647851871365;-28476.09103027063;-42312.17092165028;352333.4472645818;688564.6912221627;0.0
18;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;488265.4795537339;0.0
19;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;325254.9295317942;0.0
20;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;203539.3339460649;0.0
21;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
22;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
23;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
24;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
25;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
26;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
27;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
28;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
29;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
30;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
31;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
32;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
33;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
34;0.0;425000.0000000001;0.0;-28602.5;-42500.00000000001;353897.5000000001;0.0;0.0
